id,lat,lon,z
010010-99999,70.933,-8.667,9
010014-99999,59.792,5.341,48.8
010030-99999,77,15.5,12
010070-99999,78.917,11.933,7.7
010080-99999,78.246,15.466,26.8
010100-99999,69.293,16.144,13.1
010150-99999,69.6,17.833,14
010230-99999,69.056,18.54,76.8
010250-99999,69.683,18.919,9.4
010260-99999,69.65,18.933,114.5
010280-99999,74.517,19.017,18
010300-99999,69.283,18.133,982
010330-99999,70.25,19.5,24
010370-99999,69.383,20.283,20
010440-99999,70.487,22.14,6.4
010460-99999,69.787,20.959,4.9
010470-99999,69.017,23.067,307
010490-99999,69.976,23.372,2.7
010520-99999,70.683,23.683,81
010550-99999,71.1,23.983,14.2
010590-99999,70.069,24.973,7.6
010620-99999,76.5,25.067,10
010680-99999,71.017,25.983,14
010740-99999,71.033,27.833,13
010780-99999,71.1,28.233,10
010830-99999,70.867,29.033,13
010860-99999,70.6,29.693,149.4
010880-99999,70.067,29.85,39
010890-99999,69.726,29.893,86.3
010980-99999,70.367,31.1,15
010990-99999,70.355,31.045,12.8
011020-99999,65.2,11,16
011025-99999,65.333,7.317,80
011050-99999,68.367,15.95,8
011060-99999,67.517,12.1,2
011070-99999,67.517,12.1,4
011120-99999,65.461,12.218,7.6
011150-99999,66.767,12.483,13
011160-99999,65.95,12.467,17.1
011210-99999,66.367,12.617,10
011220-99999,65.784,13.215,72.2
011410-99999,68.15,13.617,26
011440-99999,67.4,13.883,24
011510-99999,66.367,14.3,70
011520-99999,67.269,14.365,12.8
011600-99999,68.15,14.65,11
011610-99999,68.25,14.667,9
011620-99999,68.583,15.017,3
011670-99999,68.7,15.417,3
011800-99999,68.8,16.533,45
011830-99999,68.491,16.678,25.6
011940-99999,68.467,17.5,23
012050-99999,62.333,5.267,37.2
012090-99999,62.183,6.067,74
012100-99999,62.56,6.11,21
012120-99999,62.867,6.533,15
012170-99999,62.745,7.263,3
012180-99999,62.233,7.417,17
012230-99999,63.112,7.825,62.2
012240-99999,62.467,6.217,50
012250-99999,63.517,7.95,5
012280-99999,63.85,8.467,6
012380-99999,62.117,9.283,974
012400-99999,64.167,9.4,16
012410-99999,63.699,9.604,8.5
012570-99999,63.417,10.45,131.5
012620-99999,64.8,10.55,33
012650-99999,62.267,10.733,482.3
012710-99999,63.458,10.94,17.1
012820-99999,64.85,11.233,14
012880-99999,62.567,11.383,630
012890-99999,62.583,11.35,626
012900-99999,64.467,11.583,2
012930-99999,63.417,11.733,171
013000-99999,61.2,2.267,78
013040-99999,61.567,4.683,25
013060-99999,60.75,4.717,23
013100-99999,61.584,5.025,11.3
013110-99999,60.293,5.218,51.8
013170-99999,60.383,5.333,36
013200-99999,61.833,6.117,60
013230-99999,61.393,5.764,327
013290-99999,60.35,6.267,50
013370-99999,60.633,6.433,55
013380-99999,61.167,6.65,51
013400-99999,60.42,7.28,737
013470-99999,61.156,7.137,511
013500-99999,60.6,7.533,1208
013600-99999,61.9,7.9,664
013610-99999,62.017,7.667,872
013660-99999,61.567,8,1413
013670-99999,60.983,9.217,365.4
013680-99999,61.016,9.288,822
013730-99999,60.567,9.133,166
013750-99999,61.467,10.133,1028
013755-99999,61.033,2.033,10
013780-99999,61.1,10.467,239
013820-99999,60.767,10.8,128
013840-99999,60.194,11.1,207.6
013890-99999,61.183,11.367,255.7
013920-99999,60.617,12.017,185
013970-99999,61.3,12.267,361.4
014000-99999,56.55,3.217,48.8
014030-99999,59.3,4.867,56.3
014033-99999,56.55,3.25,48.8
014060-99999,59.917,5.067,16
014080-99999,59.345,5.208,26.2
014150-99999,58.877,5.638,8.8
014250-99999,58.517,6.517,66
014270-99999,58.117,6.567,14
014280-99999,58.099,6.626,8.8
014410-99999,59.583,7.383,836
014420-99999,58.667,7.8,211
014480-99999,58.067,8.05,8
014520-99999,58.204,8.085,17.4
014550-99999,59.033,8.517,252
014650-99999,58.4,8.783,15
014670-99999,58.633,9.15,5
014700-99999,59.383,9.2,93
014703-99999,59.566,9.212,19.2
014730-99999,59.617,9.633,173
014750-99999,59.183,9.567,141
014770-99999,59.717,10.15,193
014810-99999,59.233,10.35,26
014820-99999,59.033,10.517,7.7
014830-99999,59.183,10.267,88
014843-99999,59.317,10.45,15
014880-99999,60.117,10.833,170
014920-99999,59.95,10.717,97
014940-99999,59.379,10.786,53
014950-99999,59.15,10.833,10
020120-99999,67.733,17.467,521
020200-99999,68.417,18.167,517
020240-99999,67.5,18.3,425
020290-99999,67.917,18.6,1146
020310-99999,68.067,19.833,493
020360-99999,67.85,19.033,468
020380-99999,67.25,20.267,453
020440-99999,67.822,20.337,459.6
020490-99999,67.132,20.815,313
020540-99999,68.05,21.75,360
020600-99999,68.683,21.533,403
020640-99999,67.333,22.233,240
020720-99999,67.733,22.833,313
020800-99999,68.45,22.45,331
020860-99999,67.767,22.35,317
020950-99999,67.2,23.383,171
021010-99999,65.806,15.083,458.1
021020-99999,65.1,14.517,1036
021030-99999,65.783,15.067,793
021080-99999,65.067,14.8,593
021100-99999,65.333,15.067,577
021200-99999,66.883,18.017,315
021210-99999,66.683,16.117,615
